Data	Reykjavik	Single Staunton	Desert Gold	German Knight	1972	Dubrovnik (Burnt)	Sinquefield
09/02/2020	59.99	88.79	92.8	0	0	0	0
16/02/2020	59.99	88.79	92.8	0	0	0	0
23/02/2020	59.99	88.79	92.8	45.99	0	0	0
01/03/2020	59.99	88.79	92.8	78.39	0	0	0
08/03/2020	59.99	49	92.8	78.39	0	0	0
15/03/2020	59.99	49	92.8	49	0	0	0
22/03/2020	59.99	49	92.8	49	0	0	0
29/03/2020	59.99	49	92.8	49	0	0	0
05/04/2020	59.99	49	92.8	49	0	0	0
12/04/2020	59.99	49	92.8	49	0	0	0
19/04/2020	59.99	49	92.8	49	0	0	0
26/04/2020	59.99	49	92.8	49	0	0	0
03/05/2020	59.99	49	92.8	49	0	0	0
10/05/2020	59.99	49	92.8	49	0	0	0
17/05/2020	59.99	49	92.8	49	0	0	0
24/05/2020	59.99	49	92.8	49	0	0	0
31/05/2020	59.99	49	92.8	49	0	0	0
07/06/2020	59.99	49	92.8	49	0	0	0
14/06/2020	59.99	49	92.8	49	0	0	0
21/06/2020	59.99	49	92.8	49	0	0	0
28/06/2020	59.99	49	92.8	49	0	0	0
05/07/2020	59.99	49	92.8	49	0	0	0
12/07/2020	0	49	92.8	0	99	200	278.39
19/07/2020	0	49	92.8	0	99	200	278.39
26/07/2020	0	49	92.8	0	99	200	278.39
02/08/2020	0	49	92.8	0	99	200	278.39
09/08/2020	0	49	92.8	0	99	200	278.39
16/08/2020	0	49	92.8	0	100	200	278.39
23/08/2020	0	55	92.8	0	100	200	278.39
30/08/2020	0	55	92.8	0	99	200	278.39
06/09/2020	0	55	92.8	0	99	200	278.39
13/09/2020	0	55	92.8	0	99	200	278.39
20/09/2020	0	55	92.8	0	99	200	278.39
27/09/2020	0	55	92.8	0	99	200	278.39
04/10/2020	0	55	92.8	0	99	200	278.39
11/10/2020	0	55	92.8	0	99	200	278.39
18/10/2020	0	55	92.8	0	99	200	278.39
25/10/2020	0	55	92.8	0	99	200	278.39
01/11/2020	0	55	92.8	0	99	200	278.39
08/11/2020	0	88.79	92.8	0	99	200	278.39
15/11/2020	0	88.79	92.8	0	99	200	199
22/11/2020	0	88.79	92.8	0	159	200	199
29/11/2020	0	88.79	92.8	0	159.99	200	199
06/12/2020	0	88.79	92.8	0	159.99	200	278.39
13/12/2020	0	88.79	92.8	0	159.99	200	278.39
20/12/2020	0	88.79	92.8	0	159.99	200	278.39
27/12/2020	0	88.79	92.8	0	159.99	200	278.39
