Data	Valor do desconto
09/02/2020	0.35
16/02/2020	0.3
23/02/2020	0.3
01/03/2020	0.3
08/03/2020	0.4
15/03/2020	0.4
22/03/2020	0.0
29/03/2020	0.2
05/04/2020	0.4
12/04/2020	0.35
19/04/2020	0.35
26/04/2020	0.35
03/05/2020	0.35
10/05/2020	0.35
17/05/2020	0.3
24/05/2020	0.3
31/05/2020	0.3
07/06/2020	0.2
14/06/2020	0.35
21/06/2020	0.35
28/06/2020	0.3
05/07/2020	0.3
12/07/2020	0.3
19/07/2020	0.3
26/07/2020	0.3
02/08/2020	0.4
09/08/2020	0.4
16/08/2020	0.4
23/08/2020	0.4
30/08/2020	0.25
06/09/2020	0.3
13/09/2020	0.25
20/09/2020	0.25
27/09/2020	0.25
04/10/2020	0.25
11/10/2020	0.25
18/10/2020	0.3
25/10/2020	0.3
01/11/2020	0.3
08/11/2020	0.25
15/11/2020	0.25
22/11/2020	0.3
29/11/2020	0.3
06/12/2020	0.3
13/12/2020	0.3
20/12/2020	0.3
27/12/2020	0.25
